company_name,email,password,profile_picture,comp_desc,tel_num,role
Tempur-Pedic,Tempur-Pedic.@mil.jm,pbkdf2:sha512:150000$r6s7wMNz6O$6f66470e3bbe7e7beb8848684aa085ab99194eeacd9ee3390c4846326f2303ec3750b814c0e995522fe06e777f00c29ba00c267311baeedd05cd3d0d59c8611b,default.png,"At Tempur-PedicLimited Liability Limited PartnershipIts main implementation is the Glasgow Haskell Compiler. Erlang is known for its designs that are well suited for systems. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. He looked inquisitively at his keyboard and wrote another sentence. Do you come here often? The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Do you come here often?",876-614-5908,company
Network Air,Network_Air.@com.jm,pbkdf2:sha512:150000$4zkOXGpi6a$87dbe33fa07acaf9f6b5764999b7d4333fed5459230d02a7a1e8ae6a82159d5fb091b1c510ca71cd8b4c5d8486e4a49e3c24105aaa0d44d5d101b56a46e8b65d,default.png,"At Network AirProfessional Limited Liability CompanyHaskell features a type system with type inference and lazy evaluation. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. I don't even care. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. He looked inquisitively at his keyboard and wrote another sentence.",876-871-7995,company
The Library Corporation (TLC),The_Library_Corporation_(TLC).@org.jm,pbkdf2:sha512:150000$qZqjjZ4UVf$84f037259a7a749c1dcf0fd1b6967825aaa9bb87ab3e8d10b1126653e5884d7e6ffa19a45dce3dd7a15161f1d0bd775cb3b46747d5a79988b9035fdd4ca56e29,default.png,"At The Library Corporation (TLC)Professional corporationMessages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Do you have any idea why this is not working? Ports are used to communicate with the external world. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The arguments can be primitive data types or compound data types. The arguments can be primitive data types or compound data types. Ports are created with the built-in function open_port.",876-059-8609,company
JetBlue Airways,JetBlue_Airways.@edu.jm,pbkdf2:sha512:150000$o28sXjXyPk$04964c9eeeb6ef56a87f8d23a5ed2c081e637f6c31bb7ba08d346468699973b89356b3cdf4f90a84be6cc5e10105c9b371d7de731a1616ba79ed6f4a3dc0ef30,default.png,"At JetBlue AirwaysLimited Liability CompanyThey are written as strings of consecutive alphanumeric characters, the first character being lowercase. It is also a garbage-collected runtime system. Do you come here often? Any element of a tuple can be accessed in constant time. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",876-349-4224,company
Taco Tico,Taco_Tico.@net.jm,pbkdf2:sha512:150000$m3w9dwd9cV$33bce7f7bbfb4867e29eddc9a2edca0ed6cf813725678de2e5570ab1bf9d81b169080a40ba6ecef3fb89efd00d9e87d7fb0e1601fdaec6ffee49bc7f6a010115,default.png,"At Taco TicoProfessional corporationWhere are my pants? Tuples are containers for a fixed number of Erlang data types. It is also a garbage-collected runtime system. Atoms are used within a program to denote distinguished values. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Haskell features a type system with type inference and lazy evaluation. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",876-716-9947,company
Bain Capital,Bain_Capital.@gov.jm,pbkdf2:sha512:150000$AeVckxKA4F$76853c9ffdd730992959b1cad83418aa93b58b2b29f8e63448b0f0b8ab75e239836de159067f48b0a2728bacca09a4ca71b8ed132608cdd355f71e59f59d1077,default.png,"At Bain CapitalLimited Liability Limited PartnershipMake me a sandwich. Type classes first appeared in the Haskell programming language. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Erlang is known for its designs that are well suited for systems. In 1989 the building was heavily damaged by fire, but it has since been restored. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. She spent her earliest years reading classic literature, and writing poetry.",876-669-1680,company
THQ,THQ.@mil.jm,pbkdf2:sha512:150000$1e1AMlTAmW$628c126044e142758d73aa5bf40ca50ac2fc4be6767873366cd6258da0a15b7ed19ce11f45da47c02cb4e04b6081fdabfbd71a7fe4dfee86e67d4eb3b0bb7761,default.png,"At THQProfessional corporationAny element of a tuple can be accessed in constant time. Ports are used to communicate with the external world. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Atoms are used within a program to denote distinguished values. Erlang is a general-purpose, concurrent, functional programming language.",876-974-4770,company
World Financial Group,World_Financial_Group.@mil.jm,pbkdf2:sha512:150000$PEUXxYpnoT$b43760fb3ddda5d5d2c30c9387e68fba1c2f6a5b4e59951dedcd590044e1124c1716efb737f6860aacbef7f65026f69f4ef028de8604186f379bed691e4a460b,default.png,"At World Financial GroupLimited PartnershipDo you come here often? Atoms are used within a program to denote distinguished values. Erlang is a general-purpose, concurrent, functional programming language. Type classes first appeared in the Haskell programming language. Any element of a tuple can be accessed in constant time. Ports are used to communicate with the external world. Ports are created with the built-in function open_port.",876-854-1405,company
Gas Depot,Gas_Depot.@net.jm,pbkdf2:sha512:150000$cqH6ePSM9M$fd91bdb9c5923035bb410e401653bb5b656ea5dfd0508e6651aaca5750becec01ec49aa619309cb6a052af1b003572abc1cf7b2ee4e1babedfdaf2388518bbfd,default.png,At Gas DepotIncorporatedPorts are used to communicate with the external world. He looked inquisitively at his keyboard and wrote another sentence. Ports are created with the built-in function open_port. Do you have any idea why this is not working? Erlang is known for its designs that are well suited for systems. Do you have any idea why this is not working? Where are my pants?,876-059-8053,company
NetZero,NetZero.@org.jm,pbkdf2:sha512:150000$8bi58zNJam$367f86ea488343b0b69ecbe5f4dd2dcd007479d55ffc6e82e8b9b91e3e3be0826a3cdcc622fb17bcd9857d93fb04f60bbed2d4b6f963c93634089f0f3fd53534,default.png,"At NetZeroIncorporatedMessages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Where are my pants? Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. It is also a garbage-collected runtime system. Ports are used to communicate with the external world.",876-898-8160,company
