firstname,lastname,email,username,password,profile_picture,dob,number,role,bio,major,minor,school
Timmy,Gardner,Timmy.Gardner@yahoo.com,Timmy.Gardner,pbkdf2:sha512:150000$yTP3RqfJqb$eb9a9f100ed904839fe86693889d05db61da40d9a5b7caf08e65edc0b215ea907d8e59c169200a6f113fa7362f6a4b7309d284ac23c6c8ef3a2a23d000230c64,default.png,02/23/1994,876-922-9218,student,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Do you have any idea why this is not working? Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Ports are created with the built-in function open_port.",Systems & Network Administration,Cybersecurity,University of the West Indies
Tonisha,Sloan,Tonisha.Sloan@yahoo.com,Tonisha.Sloan,pbkdf2:sha512:150000$J8NjgmTVJ8$63a8928c74ee75365a8510881df117988c20f9fa858438568e3f1a4f867f048083490a6a332e2ae758df52b1a0b0f43d4aff8f6b8ad3765ae86ac8012b5dcdda,default.png,07/15/1997,876-732-1664,student,"I don't even care. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Type classes first appeared in the Haskell programming language. Its main implementation is the Glasgow Haskell Compiler.",Cybersecurity,Information Technology,Shortwood Teachers College
Neville,Castillo,Neville.Castillo@gmail.com,Neville.Castillo,pbkdf2:sha512:150000$tIGCQgrLTD$46d9c9a786acb9ed7766d9d66abb872e4363f1a0482d5a43e552d534b5d874ce6eca7d35923ba9117fdfa0d29997834754dc7fba399908480c16239ca91795b8,default.png,12/24/2004,876-402-9271,student,"Type classes first appeared in the Haskell programming language. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Atoms are used within a program to denote distinguished values.",Computer Science,Information Science,Northern Caribbean University
Mary,Gibbs,Mary.Gibbs@outlook.com,Mary.Gibbs,pbkdf2:sha512:150000$vQWKAl8OeW$8c3e025998d0de488d473cfea388dcfc6c98df67caf2a9a8e12ccb87d6c5e3796a1ec1ba3ad128af255ca7beee0e5b3626231bda8ca1ce02fc32c89b0f63b18d,default.png,02/01/2004,876-687-1894,student,"Erlang is known for its designs that are well suited for systems. He looked inquisitively at his keyboard and wrote another sentence. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Ports are created with the built-in function open_port.",Information Technology,Information Science,University of Technology
Jude,Blankenship,Jude.Blankenship@yahoo.com,Jude.Blankenship,pbkdf2:sha512:150000$crE8qSqShv$e6475839697833581c58ddfadaa9b833ed3c0ccbfb16598c12f57679734361d46aefdaa08914a7fa3412a289527c4c203b23b71e3aae97e8ffc19f9d5ec3c771,default.png,03/04/2001,876-421-0339,student,"Where are my pants? He looked inquisitively at his keyboard and wrote another sentence. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Cybersecurity,Systems & Network Administration,Mico University College
Ulrike,Horton,Ulrike.Horton@yahoo.com,Ulrike.Horton,pbkdf2:sha512:150000$BxbnfSvEoW$90cd3462b54cca005f7f02327dc8a4c73831c5e9a5ccaa0a05ecb1ece045a5315eed220d182cff12ee5b83b8d0a546bf629211d055bbc6b317f18979c7693d16,default.png,11/08/2002,876-565-3787,student,"Do you come here often? Where are my pants? He looked inquisitively at his keyboard and wrote another sentence. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Computer Science,Information Technology,St.Joseph Teachers College
Amado,Richardson,Amado.Richardson@yahoo.com,Amado.Richardson,pbkdf2:sha512:150000$xqi6kmmJm2$7d7afec4ca3a3a2b5b1b5a39b225340dc1007dc8efd73eb6a7e74840adf4b85fbd6139bfd7807b920cac0fbf3702499d25f0d998434a035ebeea3228a53e6408,default.png,07/30/1998,876-044-6915,student,Tuples are containers for a fixed number of Erlang data types. Ports are created with the built-in function open_port. Ports are created with the built-in function open_port. It is also a garbage-collected runtime system.,Information Science,Computer Engineering,Shortwood Teachers College
Kaycee,Woods,Kaycee.Woods@yahoo.com,Kaycee.Woods,pbkdf2:sha512:150000$bRLHVxUaSk$d114e4a665cdd21f7e511d84c69b95d3ab13caf98682753f5a48f68639baa5ec6ad7d700cef89c1f0ee4e2e09923ada3dcf2e470e0a51f6ce1667c752a7c94c8,default.png,05/24/1998,876-828-7304,student,"It is also a garbage-collected runtime system. She spent her earliest years reading classic literature, and writing poetry. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Do you have any idea why this is not working?",Information Science,Cybersecurity,University of the West Indies
Lionel,Mendoza,Lionel.Mendoza@gmail.com,Lionel.Mendoza,pbkdf2:sha512:150000$apGBI9zIF0$5c6eeb38b218b550c709a9d9da806adef428aab81469ac44a6fe55865ab12c58300cf6c8fa2bc50f832e72abdc57ff23ff4d0eb1fe11af9d025931b51c263152,default.png,02/08/1996,876-928-4011,student,"Haskell features a type system with type inference and lazy evaluation. Its main implementation is the Glasgow Haskell Compiler. In 1989 the building was heavily damaged by fire, but it has since been restored. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Cybersecurity,Information Systems,University of the Commonwealth Caribbean
Elmo,Goff,Elmo.Goff@outlook.com,Elmo.Goff,pbkdf2:sha512:150000$TnykZNfy2x$050ef3462050724d5a1e2afc826e618c9c2e2ffd0a9d3d366fe5edbeaa6fbc719e3a8e47f32a26ac187340d53d4074d3637ce7fb293feb036dce40ab77824c51,default.png,03/23/1996,876-765-7017,student,"Where are my pants? Make me a sandwich. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Technology,Systems & Network Administration,Mico University College
